"","Species","LocType","Month","Compartment","Microsite","Location","CoMoss","Vege1","Vege2","Vege3","Vege4","SoilMoisture","SoilpH","SiteHumidity","AmbientTemp","SoilTemp","OrgLayer","LeafLitter","LeafLitterSpec","Canopy"
"S-1-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","J","Chemin PK","polstr","alninc","betpap","picmar",NA,14.99,4.8,45,26.5,19,0,"Low","alninc",64.38
"S-2-POLPIL-G","Polytrichum piliferum","Natural","September","Green","J","Chemin PK","polstr","alninc","betpap","picmar",NA,14.99,4.8,45,26.5,19,0,"Low","alninc",64.38
"S-2-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","J","Chemin PK","polstr","alninc","betpap","picmar",NA,14.99,4.8,45,26.5,19,0,"Low","alninc",64.38
"S-3-POLPIL-G","Polytrichum piliferum","Natural","September","Green","J","Chemin PK","polstr","alninc","betpap","picmar",NA,14.99,4.8,45,26.5,19,0,"Low","alninc",64.38
"S-3-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","J","Chemin PK","polstr","alninc","betpap","picmar",NA,14.99,4.8,45,26.5,19,0,"Low","alninc",64.38
"S-4-POLPIL-G","Polytrichum piliferum","Natural","September","Green","K","Chemin PK",NA,"alninc",NA,NA,NA,5.89,5.32,43,23.9,12.4,0,"High","alninc",49.13
"S-4-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","K","Chemin PK",NA,"alninc",NA,NA,NA,5.89,5.32,43,23.9,12.4,0,"High","alninc",49.13
"S-5-POLPIL-G","Polytrichum piliferum","Natural","September","Green","K","Chemin PK",NA,"alninc",NA,NA,NA,5.89,5.32,43,23.9,12.4,0,"High","alninc",49.13
"S-5-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","K","Chemin PK",NA,"alninc",NA,NA,NA,5.89,5.32,43,23.9,12.4,0,"High","alninc",49.13
"S-6-POLPIL-G","Polytrichum piliferum","Natural","September","Green","K","Chemin PK",NA,"alninc",NA,NA,NA,5.89,5.32,43,23.9,12.4,0,"High","alninc",49.13
"S-6-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","K","Chemin PK",NA,"alninc",NA,NA,NA,5.89,5.32,43,23.9,12.4,0,"High","alninc",49.13
"S-7-POLPIL-G","Polytrichum piliferum","Natural","September","Green","L","Chemin PK",NA,"alninc",NA,NA,NA,7.56,5.21,41,24,16.6,0,"Medium","alninc",55.02
"S-7-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","L","Chemin PK",NA,"alninc",NA,NA,NA,7.56,5.21,41,24,16.6,0,"Medium","alninc",55.02
"S-8-POLPIL-G","Polytrichum piliferum","Natural","September","Green","L","Chemin PK",NA,"alninc",NA,NA,NA,7.56,5.21,41,24,16.6,0,"Medium","alninc",55.02
"S-8-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","L","Chemin PK",NA,"alninc",NA,NA,NA,7.56,5.21,41,24,16.6,0,"Medium","alninc",55.02
"S-9-POLPIL-G","Polytrichum piliferum","Natural","September","Green","L","Chemin PK",NA,"alninc",NA,NA,NA,7.56,5.21,41,24,16.6,0,"Medium","alninc",55.02
"S-9-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","L","Chemin PK",NA,"alninc",NA,NA,NA,7.56,5.21,41,24,16.6,0,"Medium","alninc",55.02
"S-10-POLPIL-G","Polytrichum piliferum","Natural","September","Green","M","Eastmain 1","polstr","alninc","popbal",NA,NA,8.83,5.18,70,18.1,14.6,0,"Medium","alninc",76.76
"S-10-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","M","Eastmain 1","polstr","alninc","popbal",NA,NA,8.83,5.18,70,18.1,14.6,0,"Medium","alninc",76.76
"S-11-POLPIL-G","Polytrichum piliferum","Natural","September","Green","M","Eastmain 1","polstr","alninc","popbal",NA,NA,8.83,5.18,70,18.1,14.6,0,"Medium","alninc",76.76
"S-11-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","M","Eastmain 1","polstr","alninc","popbal",NA,NA,8.83,5.18,70,18.1,14.6,0,"Medium","alninc",76.76
"S-12-POLPIL-G","Polytrichum piliferum","Natural","September","Green","M","Eastmain 1","polstr","alninc","popbal",NA,NA,8.83,5.18,70,18.1,14.6,0,"Medium","alninc",76.76
"S-12-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","M","Eastmain 1","polstr","alninc","popbal",NA,NA,8.83,5.18,70,18.1,14.6,0,"Medium","alninc",76.76
"S-13-POLPIL-G","Polytrichum piliferum","Natural","September","Green","N","Eastmain 1","polstr","alninc",NA,NA,NA,7.57,5.23,61,20.6,11.9,0,"Low","alninc",37.45
"S-13-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","N","Eastmain 1","polstr","alninc",NA,NA,NA,7.57,5.23,61,20.6,11.9,0,"Low","alninc",37.45
"S-14-POLPIL-G","Polytrichum piliferum","Natural","September","Green","N","Eastmain 1","polstr","alninc",NA,NA,NA,7.57,5.23,61,20.6,11.9,0,"Low","alninc",37.45
"S-14-POLPIL-B","Polytrichum piliferum","Natural","September","Brown","N","Eastmain 1","polstr","alninc",NA,NA,NA,7.57,5.23,61,20.6,11.9,0,"Low","alninc",37.45
"S-15-POLPIL-G","Polytrichum piliferum","Natural","September","Green","N","Eastmain 1","polstr","alninc",NA,NA,NA,7.57,5.23,61,20.6,11.9,0,"Low","alninc",37.45
